#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-27T22:19:12 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54c7defe3919	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/194/42&tab:{J/ApJS/194/42/table3}&key:source=J/ApJS/194/42&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/194/42/table3
#-order=I
#-out=SDSS
#-out=z
#-out=LL(b)
#-out=st(a)
#-out=MBH(ab)
#-out=e_MBH(ab)
#DR3+7=DR3+7
#Sloan=Sloan
#Simbad=Simbad
#NED=NED
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21940042
#Name: J/ApJS/194/42
#Title: SDSS-DR3 MgII-based black hole masses (Rafiee+, 2011)
#Table	J_ApJS_194_42_table3:
#Name: J/ApJS/194/42/table3
#Title: Catalog of virial mass measurements
#Column	SDSS	(A18)	SDSS designation (HHMMSS.ss+DDMMSS.s; J2000)	[ucd=meta.id;meta.main]
#Column	z	(F7.4)	Redshift (spectroscopic)	[ucd=src.redshift]
#Column	LL(b)	(E8.1)	? Monochromatic 3000{AA} luminosity; in 10^44^erg/s units (2)	[ucd=meta.unit]
#Column	st(a)	(F5.1)	? Intrinsic {sigma}(MgII); in Angstrom (4)	[ucd=stat.error]
#Column	MBH(ab)	(E9.2)	? BH mass, after PCA and before RPC (4)	[ucd=phys.mass]
#Column	e_MBH(ab)	(E9.2)	? Error in MBH(ab) (4)	[ucd=stat.error]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
SDSS;z;LL(b);st(a);MBH(ab);e_MBH(ab);RAJ2000;DEJ2000
140321.18+415242.6; 1.7724; 2.9e+01; 19.9; 8.26e+08; 1.74e+08;210.83827;+41.87851
140321.33+030023.6; 1.0741; 2.8e+01; 28.1; 1.48e+09; 3.11e+08;210.83892;+03.00656
140322.64+470731.6; 1.5114; 6.3e+01; 20.0; 1.14e+09; 2.40e+08;210.84434;+47.12545
140323.04+052032.0; 1.4975; 4.4e+01; 22.4; 1.16e+09; 2.45e+08;210.84602;+05.34223
140326.84+505941.9; 1.2202; 9.8e+00; 24.6; 6.56e+08; 1.38e+08;210.86187;+50.99499
140326.90+561307.3; 1.0749; 1.5e+02; 16.5; 1.16e+09; 2.45e+08;210.86212;+56.21872
140327.50+525036.5; 1.3944; 3.6e+01; 19.0; 7.74e+08; 1.63e+08;210.86459;+52.84350
140329.48+022650.1; 1.0647; 3.2e+01; 16.7; 5.47e+08; 1.15e+08;210.87287;+02.44727
140330.20+022152.2; 1.7619; 6.5e+01; 18.7; 9.60e+08; 2.02e+08;210.87586;+02.36451
140330.36+040246.4; 1.3184; 9.1e+01; 17.8; 1.04e+09; 2.19e+08;210.87651;+04.04623
140332.68+031640.7; 1.4049; 4.9e+01; 14.3; 4.98e+08; 1.05e+08;210.88620;+03.27800
140334.97+554406.3; 1.5469; 2.6e+02; 23.7; 3.18e+09; 6.71e+08;210.89575;+55.73509
140335.06+455430.9; 1.8822; 4.3e+01; 21.1; 9.59e+08; 2.02e+08;210.89608;+45.90860
140335.95+012343.6; 1.8689; 6.0e+01; 24.0; 1.33e+09; 2.80e+08;210.89980;+01.39544
140337.31+024707.6; 1.1410; 7.7e+01; 18.8; 1.07e+09; 2.25e+08;210.90549;+02.78547
140340.49+633739.6; 1.4211; 3.6e+01; 20.7; 9.16e+08; 1.93e+08;210.91874;+63.62768
140341.97+030817.4; 1.7615; 1.7e+02; 21.2; 2.08e+09; 4.39e+08;210.92491;+03.13819
140344.07-003359.4; 1.7439; 4.7e+01; 17.3; 7.33e+08; 1.54e+08;210.93363;-00.56650
140344.29+425722.7; 0.9868; 2.2e+01; 20.3; 6.64e+08; 1.40e+08;210.93456;+42.95633
140344.82+620558.7; 1.7786; 5.6e+01; 21.0; 1.21e+09; 2.55e+08;210.93679;+62.09965
140344.87+551248.1; 1.6776; 4.4e+01; 18.4; 8.21e+08; 1.73e+08;210.93696;+55.21339
140346.17+052315.8; 1.1125; 4.1e+01; 21.5; 1.03e+09; 2.17e+08;210.94239;+05.38774
140348.77+425058.8; 1.4609; 9.2e+01; 18.5; 1.15e+09; 2.43e+08;210.95323;+42.84968
140349.40+472231.4; 1.7162; 1.3e+01; 15.2; 2.76e+08; 5.82e+07;210.95587;+47.37540
140349.53+465521.5; 0.8327; 6.0e+00; 17.7; 2.77e+08; 5.84e+07;210.95640;+46.92265
140350.78+602536.4; 1.1339; 1.0e+01; 21.9; 5.41e+08; 1.14e+08;210.96160;+60.42680
140353.49+584319.0; 1.5546; 5.6e+01; 23.1; 1.41e+09; 2.97e+08;210.97291;+58.72195
140357.49+465358.1; 1.2748; 1.4e+01; 20.7; 5.50e+08; 1.16e+08;210.98955;+46.89950
140357.63-031607.5; 1.8426; 1.7e+02; 17.7; 1.42e+09; 2.99e+08;210.99015;-03.26875
140359.08+545621.7; 1.8689; 5.4e+01; 18.2; 8.82e+08; 1.86e+08;210.99617;+54.93939
140402.56+042841.2; 1.9694; 6.8e+01; 22.9; 1.46e+09; 3.08e+08;211.01068;+04.47813
140402.57+514138.2; 1.1198; 4.5e+01; 19.0; 8.41e+08; 1.77e+08;211.01073;+51.69397
140403.16+432032.3; 1.9729; 2.6e+01; 17.5; 5.69e+08; 1.20e+08;211.01320;+43.34231
140406.94+654558.4; 1.5995; 5.9e+01; 19.8; 1.04e+09; 2.19e+08;211.02895;+65.76624
140406.99+471148.7; 1.3296; 4.1e+01; 22.1; 1.12e+09; 2.36e+08;211.02915;+47.19687
140407.04+620237.8; 1.2182; 3.5e+01; 19.7; 7.88e+08; 1.66e+08;211.02936;+62.04385
140407.53+012606.4; 1.9528; 1.9e+01; 22.2; 1.05e+09; 2.22e+08;211.03139;+01.43514
140412.12-001325.0; 1.2166; 4.3e+01; 16.9; 6.65e+08; 1.40e+08;211.05052;-00.22361
140412.22+595416.0; 1.4772; 8.8e+01; 16.2; 8.54e+08; 1.80e+08;211.05095;+59.90446
140413.54+554815.0; 1.3757; 7.5e+01; 23.5; 1.67e+09; 3.51e+08;211.05642;+55.80418
140414.19+525628.6; 1.3610; 6.3e+01; 21.5; 1.28e+09; 2.70e+08;211.05916;+52.94128
140416.30+632648.7; 0.9489; 1.1e+02; 14.8; 8.04e+08; 1.69e+08;211.06794;+63.44688
140417.27+593929.8; 1.2962; 2.7e+01; 23.5; 1.01e+09; 2.13e+08;211.07199;+59.65830
140418.32+460148.2; 1.5898; 2.6e+01; 17.0; 5.06e+08; 1.07e+08;211.07635;+46.03008
140420.19+034828.6; 1.3320; 1.1e+02; 17.2; 1.06e+09; 2.23e+08;211.08413;+03.80796
140420.76+471212.3; 1.6183; 2.1e+01; 21.9; 8.20e+08; 1.73e+08;211.08652;+47.20344
140422.33+470604.4; 0.8152; 1.3e+01; 19.2; 4.64e+08; 9.77e+07;211.09306;+47.10122
140422.44+625222.6; 1.2750; 4.7e+01; 24.0; 1.39e+09; 2.93e+08;211.09351;+62.87295
140423.13+514848.4; 1.0901; 2.5e+01; 20.8; 7.47e+08; 1.57e+08;211.09638;+51.81347
140423.92+464637.3; 1.8720; 7.9e+01; 23.2; 1.55e+09; 3.27e+08;211.09970;+46.77705
140425.58+623401.4; 1.9428; 1.4e+02; 22.0; 1.99e+09; 4.18e+08;211.10662;+62.56708
140427.13+460200.9; 1.9022; 6.8e+01; 20.8; 1.22e+09; 2.57e+08;211.11304;+46.03360
140427.16+462611.5; 1.6502; 7.9e+01; 17.7; 9.54e+08; 2.01e+08;211.11318;+46.43655
140430.20+454436.0; 1.6782; 8.6e+01; 17.6; 9.97e+08; 2.10e+08;211.12585;+45.74333
140431.17+592322.7; 1.1966; 2.2e+01; 17.3; 5.02e+08; 1.06e+08;211.12991;+59.38966
140431.88+622909.8; 1.8465; 3.9e+01; 23.4; 1.26e+09; 2.65e+08;211.13286;+62.48608
140434.54+613905.3; 1.5522; 2.7e+02; 21.2; 2.58e+09; 5.43e+08;211.14392;+61.65148
140437.25+020416.8; 1.7970; 8.1e+01; 17.1; 8.77e+08; 1.85e+08;211.15521;+02.07136
140438.44+053019.1; 1.2353; 1.1e+01; 21.4; 4.98e+08; 1.05e+08;211.16017;+05.50531
140441.20+003944.8; 1.1569; 3.8e+01; 15.4; 5.17e+08; 1.09e+08;211.17169;+00.66245
140444.19+551636.9; 1.5879; 8.4e+01; 19.1; 1.18e+09; 2.49e+08;211.18413;+55.27694
140444.90+591720.9; 1.2662; 2.6e+01; 18.4; 5.92e+08; 1.25e+08;211.18709;+59.28915
140445.15+424935.8; 1.6380; 1.1e+02; 17.0; 1.03e+09; 2.17e+08;211.18816;+42.82664
140445.22-012024.6; 1.0824; 3.3e+01; 15.0; 4.61e+08; 9.71e+07;211.18843;-01.34019
140445.32+515012.4; 1.6878; 8.9e+01; 19.0; 1.19e+09; 2.50e+08;211.18884;+51.83680
140446.50+024757.7; 1.8483; 7.2e+01; 20.0; 1.20e+09; 2.54e+08;211.19376;+02.79938
140448.08+550238.2; 1.6661; 6.1e+01; 23.3; 1.46e+09; 3.07e+08;211.20036;+55.04396
140448.31+472731.7; 1.5809; 1.7e+01; 18.2; 5.11e+08; 1.08e+08;211.20132;+47.45881
140448.88+553951.9; 1.7682; 4.5e+01; 19.4; 8.48e+08; 1.79e+08;211.20369;+55.66443
140454.92+591229.7; 1.1978; 5.6e+01; 21.6; 1.21e+09; 2.56e+08;211.22885;+59.20827
140456.06+003953.9; 1.0825; 1.1e+02; 16.4; 1.00e+09; 2.11e+08;211.23361;+00.66497
140458.36+600023.3; 1.9555; 1.2e+01; 20.3; 6.42e+08; 1.35e+08;211.24317;+60.00650
140459.40+414153.3; 1.7276; 8.5e+01; 17.7; 9.95e+08; 2.10e+08;211.24752;+41.69816
140505.61-030052.4; 1.2169; 6.7e+01; 18.1; 9.28e+08; 1.95e+08;211.27338;-03.01457
140505.77+470441.1; 1.2401; 1.5e+02; 18.4; 1.45e+09; 3.04e+08;211.27406;+47.07811
140506.03+655844.6; 1.5004; 1.0e+02; 19.5; 1.36e+09; 2.87e+08;211.27513;+65.97906
140509.09-000652.4; 0.9915; 2.9e+01; 17.7; 5.94e+08; 1.25e+08;211.28790;-00.11458
140509.99+042653.0; 1.4684; 4.1e+01; 20.0; 8.89e+08; 1.87e+08;211.29165;+04.44808
140512.82+413119.4; 1.6303; 9.0e+01; 18.8; 1.15e+09; 2.43e+08;211.30345;+41.52207
140514.31+404746.7; 1.7593; 6.5e+01; 18.1; 9.58e+08; 2.02e+08;211.30966;+40.79632
140514.88+033317.3; 1.9483; 1.4e+02; 15.7; 9.96e+08; 2.10e+08;211.31204;+03.55483
140527.77+414822.8; 1.8973; 7.1e+01; 20.7; 1.25e+09; 2.63e+08;211.36573;+41.80635
140528.30-031309.8; 1.0067; 2.4e+01; 22.0; 8.23e+08; 1.73e+08;211.36796;-03.21940
140528.76+630325.5; 1.1953; 5.6e+01; 17.9; 8.43e+08; 1.78e+08;211.36987;+63.05709
140529.26+464705.1; 1.4934; 5.7e+01; 16.8; 7.52e+08; 1.58e+08;211.37192;+46.78476
140535.05+034641.6; 0.7846; 2.4e+01; 18.0; 5.58e+08; 1.18e+08;211.39608;+03.77823
140538.44+600336.5; 0.8034; 6.7e+00; 19.7; 3.59e+08; 7.57e+07;211.41017;+60.06016
140541.15+650904.8; 1.5596; 5.2e+01; 14.5; 5.29e+08; 1.11e+08;211.42147;+65.15135
140544.14+612317.6; 0.9961; 2.3e+01; 16.6; 4.59e+08; 9.66e+07;211.43395;+61.38824
140545.48+610617.5; 1.7388; 3.6e+01; 15.1; 4.92e+08; 1.04e+08;211.43950;+61.10486
140548.53+462821.8; 0.9924; 6.9e+00; 18.6; 3.12e+08; 6.58e+07;211.45225;+46.47272
140555.04+591227.6; 1.8356; 9.5e+01; 19.8; 1.33e+09; 2.79e+08;211.47934;+59.20768
140555.36+415603.4; 1.3780; 1.3e+02; 21.6; 1.84e+09; 3.88e+08;211.48068;+41.93428
140558.57+622123.8; 1.1908; 2.5e+01; 19.4; 6.64e+08; 1.40e+08;211.49408;+62.35664
140558.79+422903.2; 1.6015; 3.3e+01; 19.4; 7.57e+08; 1.59e+08;211.49497;+42.48424
140600.54+640311.0; 1.1207; 2.5e+01; 14.6; 3.74e+08; 7.87e+07;211.50226;+64.05306
140600.94+024610.9; 1.7423; 2.2e+02; 17.1; 1.54e+09; 3.24e+08;211.50395;+02.76972
140601.18-012443.1; 1.8353; 1.2e+02; 20.0; 1.48e+09; 3.13e+08;211.50494;-01.41199
140601.27+472829.2; 1.2671; 3.4e+01; 18.1; 6.87e+08; 1.45e+08;211.50529;+47.47479
140603.23+045343.1; 1.9224; 1.6e+02; 19.3; 1.69e+09; 3.57e+08;211.51348;+04.89531
140604.22+642747.4; 1.7935; 5.9e+01; 21.3; 1.30e+09; 2.74e+08;211.51760;+64.46317
140605.40+520645.4; 1.0923; 1.5e+01; 25.5; 8.68e+08; 1.83e+08;211.52251;+52.11264
140608.17+605046.9; 1.6576; 5.4e+01; 17.7; 8.15e+08; 1.72e+08;211.53407;+60.84638
140608.21+035334.7; 1.7317; 5.4e+01; 23.4; 1.41e+09; 2.96e+08;211.53421;+03.89299
140609.58-030058.3; 1.8296; 1.2e+02; 17.7; 1.23e+09; 2.58e+08;211.53993;-03.01622
140610.51+471233.3; 1.2553; 2.0e+01; 14.5; 3.46e+08; 7.29e+07;211.54383;+47.20926
140611.79+590921.6; 1.2304; 9.2e+01; 21.5; 1.56e+09; 3.29e+08;211.54913;+59.15602
140617.51-010257.2; 1.9389; 9.3e+01; 16.6; 9.02e+08; 1.90e+08;211.57296;-01.04924
140620.27+001015.1; 1.5615; 6.3e+01; 22.5; 1.42e+09; 3.00e+08;211.58447;+00.17088
140620.42+045339.7; 1.5703; 5.6e+01; 19.9; 1.04e+09; 2.19e+08;211.58510;+04.89439
140621.34+051258.9; 1.8823; 9.0e+01; 20.3; 1.35e+09; 2.84e+08;211.58894;+05.21639
140622.44-011230.7; 1.1541; 3.2e+01; 19.5; 7.48e+08; 1.58e+08;211.59353;-01.20855
140622.63+513333.4; 1.4884; 9.5e+01; 19.3; 1.24e+09; 2.62e+08;211.59430;+51.55930
140624.97+474511.0; 0.9491; 1.0e+01; 20.5; 4.73e+08; 9.97e+07;211.60408;+47.75307
140625.44+030924.7; 1.4810; 7.6e+01; 16.3; 8.23e+08; 1.73e+08;211.60602;+03.15688
140627.42+591018.0; 1.0546; 8.2e+00; 23.2; 5.45e+08; 1.15e+08;211.61427;+59.17169
140627.86+625251.8; 1.4723; 5.2e+01; 17.9; 8.10e+08; 1.71e+08;211.61612;+62.88108
140628.03+460804.3; 1.3919; 1.8e+01; 20.0; 5.84e+08; 1.23e+08;211.61680;+46.13454
140628.12+462529.3; 1.1045; 1.1e+01; 22.1; 5.63e+08; 1.19e+08;211.61717;+46.42481
140631.38+010003.2; 1.5658; 6.4e+01; 20.0; 1.10e+09; 2.31e+08;211.63077;+01.00091
140633.31+602043.7; 1.6407; 1.4e+02; 19.4; 1.58e+09; 3.34e+08;211.63879;+60.34547
140636.05+052456.5; 1.9194; 1.1e+02; 19.0; 1.33e+09; 2.80e+08;211.65022;+05.41571
140637.57-030714.9; 1.4787; 4.5e+01; 18.6; 8.13e+08; 1.71e+08;211.65657;-03.12081
140640.20-020151.2; 1.5488; 1.6e+01; 18.2; 4.77e+08; 1.00e+08;211.66753;-02.03089
140641.74+405822.4; 1.0392; 3.8e+01; 16.8; 6.14e+08; 1.29e+08;211.67393;+40.97290
140642.64-004009.8; 1.9437; 9.8e+01; 16.5; 9.30e+08; 1.96e+08;211.67770;-00.66939
140643.08+455934.1; 1.5903; 2.2e+01; 22.4; 8.38e+08; 1.77e+08;211.67951;+45.99281
140643.41-021228.6; 1.3960; 3.7e+01; 18.5; 7.36e+08; 1.55e+08;211.68090;-02.20797
140644.53+510645.5; 1.5902; 7.7e+01; 17.7; 9.74e+08; 2.05e+08;211.68558;+51.11264
140644.93+455651.8; 1.3736; 6.9e+01; 18.2; 9.69e+08; 2.04e+08;211.68723;+45.94774
140646.09+583738.6; 1.2548; 4.1e+01; 23.3; 1.23e+09; 2.58e+08;211.69205;+58.62741
140648.89+585844.9; 1.4997; 8.5e+01; 16.3; 8.56e+08; 1.80e+08;211.70374;+58.97915
140650.99+510657.2; 1.9725; 7.2e+01; 19.8; 1.21e+09; 2.55e+08;211.71249;+51.11589
140651.08+650613.2; 1.8784; 1.0e+02; 21.6; 1.68e+09; 3.53e+08;211.71286;+65.10367
140653.62+574111.6; 1.0519; 2.6e+01; 17.2; 5.22e+08; 1.10e+08;211.72344;+57.68657
140655.20-011709.4; 0.9105; 5.7e+01; 16.3; 7.03e+08; 1.48e+08;211.73001;-01.28595
140656.49+461712.5; 1.3142; 2.1e+01; 24.9; 9.80e+08; 2.06e+08;211.73538;+46.28681
140700.43+423706.5; 1.8335; 1.1e+02; 19.4; 1.43e+09; 3.02e+08;211.75181;+42.61849
140700.89+464403.2; 1.2361; 2.2e+01; 22.4; 8.43e+08; 1.78e+08;211.75372;+46.73423
140702.08+604914.3; 1.5824; 5.8e+01; 21.1; 1.19e+09; 2.50e+08;211.75871;+60.82066
140704.19+604738.5; 1.5845; 3.8e+01; 19.9; 8.56e+08; 1.80e+08;211.76747;+60.79404
140706.91+583130.3; 1.6197; 8.1e+01; 18.5; 1.09e+09; 2.29e+08;211.77882;+58.52508
140709.09+024553.0; 1.3621; 6.9e+01; 22.3; 1.44e+09; 3.04e+08;211.78792;+02.76473
140709.11+462134.3; 1.9087; 4.6e+01; 23.4; 1.22e+09; 2.57e+08;211.78797;+46.35953
140710.59-004915.2; 1.5103; 6.4e+01; 15.5; 6.75e+08; 1.42e+08;211.79415;-00.82090
140712.16-012736.5; 1.9504; 2.8e+01; 19.3; 7.09e+08; 1.49e+08;211.80068;-01.46017
140714.22+023601.4; 1.6683; 5.1e+01; 20.7; 1.09e+09; 2.31e+08;211.80927;+02.60039
140714.35+465659.1; 1.7199; 1.1e+02; 17.4; 1.08e+09; 2.28e+08;211.80980;+46.94975
140716.75+420717.6; 1.5847; 3.3e+01; 19.2; 7.22e+08; 1.52e+08;211.81982;+42.12157
140717.00+423016.9; 1.1364; 1.2e+02; 19.3; 1.45e+09; 3.05e+08;211.82085;+42.50472
140720.49+005056.6; 1.2188; 5.2e+01; 19.1; 9.20e+08; 1.94e+08;211.83541;+00.84907
140721.51+052009.2; 1.0113; 5.1e+00; 34.6; 9.93e+08; 2.09e+08;211.83964;+05.33589
140722.20+475542.7; 1.1934; 5.0e+01; 24.4; 1.47e+09; 3.10e+08;211.84254;+47.92855
140726.83+504341.9; 1.5361; 8.0e+01; 23.0; 1.68e+09; 3.54e+08;211.86183;+50.72833
140727.39+513819.2; 1.4034; 4.4e+01; 16.7; 6.47e+08; 1.36e+08;211.86415;+51.63868
140727.88+522530.9; 1.3604; 4.0e+01; 17.1; 6.47e+08; 1.36e+08;211.86618;+52.42526
140734.54+464128.3; 1.1317; 3.7e+01; 18.6; 7.36e+08; 1.55e+08;211.89393;+46.69120
140737.49+031854.4; 1.8926; 6.0e+01; 21.9; 1.30e+09; 2.75e+08;211.90623;+03.31511
140738.77+603240.9; 1.8585; 2.2e+01; 18.3; 5.27e+08; 1.11e+08;211.91158;+60.54471
140739.84+551702.0; 1.5508; 5.4e+01; 17.3; 7.64e+08; 1.61e+08;211.91600;+55.28390
140740.44+024927.3; 1.9382; 7.6e+01; 18.1; 1.01e+09; 2.13e+08;211.91853;+02.82425
140741.14+044433.0; 1.7532; 2.1e+01; 17.5; 5.57e+08; 1.17e+08;211.92145;+04.74251
140742.74+413220.7; 1.0725; 2.4e+01; 16.0; 4.58e+08; 9.64e+07;211.92809;+41.53911
140743.99-002556.3; 0.8213; 2.0e+01; 23.0; 8.38e+08; 1.76e+08;211.93330;-00.43233
140745.71+043852.6; 1.4474; 2.9e+01; 25.2; 1.16e+09; 2.45e+08;211.94049;+04.64796
140751.28+611147.1; 1.2997; 2.4e+01; 17.9; 5.53e+08; 1.17e+08;211.96371;+61.19642
140751.66+620446.4; 1.7232; 7.3e+01; 20.7; 1.26e+09; 2.65e+08;211.96525;+62.07958
140754.27+512457.2; 0.9602; 3.2e+01; 20.2; 7.99e+08; 1.68e+08;211.97616;+51.41590
140756.14+504757.4; 1.1416; 6.7e+01; 19.9; 1.13e+09; 2.37e+08;211.98396;+50.79928
140807.79-002254.1; 0.7692; 1.6e+01; 22.2; 6.87e+08; 1.45e+08;212.03248;-00.38171
140807.88+634754.6; 1.7641; 1.2e+02; 21.6; 1.72e+09; 3.62e+08;212.03287;+63.79851
140808.25+471723.7; 0.8288; 1.5e+01; 21.6; 6.40e+08; 1.35e+08;212.03441;+47.28993
140809.09+422138.0; 1.2024; 5.4e+01; 20.2; 1.05e+09; 2.20e+08;212.03790;+42.36058
140809.67+021852.8; 1.5523; 2.1e+02; 19.1; 1.87e+09; 3.93e+08;212.04032;+02.31469
140809.72+605717.4; 1.2588; 2.4e+01; 19.1; 6.44e+08; 1.36e+08;212.04052;+60.95486
140810.49+473538.4; 1.9387; 4.9e+01; 16.0; 6.27e+08; 1.32e+08;212.04372;+47.59401
140812.09+035324.8; 1.0761; 2.5e+01; 18.0; 5.81e+08; 1.22e+08;212.05039;+03.89023
140814.19+634123.3; 1.7740; 6.8e+01; 19.5; 1.15e+09; 2.43e+08;212.05913;+63.68981
140817.56-011432.1; 1.9444; 3.4e+02; 20.5; 2.69e+09; 5.66e+08;212.07317;-01.24226
140819.58+603617.9; 0.8007; 7.0e+01; 23.6; 1.65e+09; 3.48e+08;212.08161;+60.60500
140822.85+600942.8; 1.3369; 2.2e+01; 16.9; 4.75e+08; 1.00e+08;212.09525;+60.16191
140823.83+644927.9; 1.1204; 3.0e+01; 18.9; 6.84e+08; 1.44e+08;212.09930;+64.82444
140827.36+580356.0; 1.7625; 1.5e+02; 24.4; 2.57e+09; 5.41e+08;212.11404;+58.06556
140827.58+555331.9; 1.2796; 4.1e+01; 19.2; 8.18e+08; 1.72e+08;212.11494;+55.89221
140828.91+012722.6; 1.6374; 6.8e+01; 17.3; 8.68e+08; 1.83e+08;212.12047;+01.45629
140831.14+010850.6; 1.4535; 6.8e+01; 21.0; 1.26e+09; 2.66e+08;212.12975;+01.14739
140832.48+473837.4; 1.4406; 4.6e+01; 20.6; 1.04e+09; 2.19e+08;212.13535;+47.64373
140832.64+003138.5; 1.6712; 4.7e+01; 23.9; 1.30e+09; 2.73e+08;212.13602;+00.52737
140838.84+043645.2; 1.8483; 7.2e+01; 19.8; 1.16e+09; 2.44e+08;212.16183;+04.61256
140841.92+505020.0; 1.1297; 2.9e+01; 20.5; 7.90e+08; 1.66e+08;212.17469;+50.83891
140842.21+604748.8; 1.4441; 4.4e+01; 13.1; 4.00e+08; 8.42e+07;212.17590;+60.79691
140842.24+605308.0; 1.0867; 2.7e+01; 21.4; 8.48e+08; 1.79e+08;212.17600;+60.88557
140842.63+415317.2; 1.5313; 5.4e+01; 15.5; 6.39e+08; 1.35e+08;212.17763;+41.88811
140842.75+010828.7; 1.6469; 3.9e+01; 19.4; 8.44e+08; 1.78e+08;212.17813;+01.14131
140843.77+004730.4; 1.0237; 3.0e+01; 30.5; 1.79e+09; 3.77e+08;212.18240;+00.79179
140845.28+554514.7; 1.6484; 1.3e+02; 17.5; 1.23e+09; 2.59e+08;212.18870;+55.75410
140846.60+511855.4; 1.5359; 4.4e+01; 22.8; 1.20e+09; 2.53e+08;212.19419;+51.31541
140848.81+650528.0; 1.9370; 5.3e+02; 15.0; 1.81e+09; 3.81e+08;212.20340;+65.09111
140851.49+463039.7; 1.9408; 3.4e+01; 17.6; 6.02e+08; 1.27e+08;212.21458;+46.51103
140851.67+515217.4; 0.8453; 1.9e+01; 18.2; 5.11e+08; 1.08e+08;212.21530;+51.87151
140853.69-015528.2; 1.7643; 2.3e+02; 19.1; 1.94e+09; 4.09e+08;212.22374;-01.92452
140853.96+620156.0; 1.0310; 2.4e+01; 13.5; 3.17e+08; 6.68e+07;212.22483;+62.03223
140854.59+543204.8; 1.5930; 2.7e+01; 17.4; 4.98e+08; 1.05e+08;212.22747;+54.53468
140854.89+021424.5; 1.7286; 2.6e+01; 17.1; 5.55e+08; 1.17e+08;212.22874;+02.24016
140859.59+460905.2; 0.8862; 1.8e+01; 16.3; 3.95e+08; 8.32e+07;212.24829;+46.15146
140901.06+591107.2; 1.5640; 6.5e+01; 16.7; 7.94e+08; 1.67e+08;212.25443;+59.18536
140902.00+005239.1; 0.8677; 8.7e+00; 21.0; 4.45e+08; 9.38e+07;212.25837;+00.87753
140905.82+620000.1; 1.9199; 1.3e+02; 25.6; 2.71e+09; 5.71e+08;212.27426;+62.00003
140906.04-021806.0; 1.7916; 7.6e+01; 19.7; 1.18e+09; 2.49e+08;212.27519;-02.30169
140912.33+512841.7; 1.8324; 1.2e+02; 20.0; 1.55e+09; 3.27e+08;212.30139;+51.47825
140914.70+405134.2; 1.6000; 7.1e+01; 16.1; 7.57e+08; 1.60e+08;212.31128;+40.85952
140918.18+014217.4; 0.9387; 2.5e+01; 19.8; 7.07e+08; 1.49e+08;212.32578;+01.70485
140918.82+645521.5; 1.0298; 3.8e+01; 18.9; 7.73e+08; 1.63e+08;212.32843;+64.92266
140918.97+472706.8; 1.1925; 1.0e+01; 21.2; 4.91e+08; 1.04e+08;212.32908;+47.45189
140919.39+025616.1; 1.7146; 1.4e+02; 15.6; 9.60e+08; 2.02e+08;212.33082;+02.93783
140922.08+570331.8; 1.4277; 4.1e+01; 16.8; 6.38e+08; 1.34e+08;212.34201;+57.05886
140922.50+405823.3; 0.9750; 5.7e+01; 18.2; 8.78e+08; 1.85e+08;212.34376;+40.97316
140926.90+600348.0; 1.1984; 7.0e+01; 16.5; 8.04e+08; 1.69e+08;212.36211;+60.06334
140926.93+051556.2; 1.5722; 3.1e+01; 17.3; 5.73e+08; 1.21e+08;212.36223;+05.26561
140929.71+011426.1; 1.5037; 1.3e+02; 17.7; 1.24e+09; 2.62e+08;212.37380;+01.24060
140929.98+404524.5; 1.3035; 3.4e+01; 17.2; 6.07e+08; 1.28e+08;212.37492;+40.75682
140932.87+504154.6; 1.9738; 1.8e+02; 18.1; 1.52e+09; 3.21e+08;212.38697;+50.69851
140933.94+562319.1; 1.2955; 4.2e+01; 21.2; 1.02e+09; 2.14e+08;212.39145;+56.38865
140934.39+420110.0; 1.2852; 3.7e+01; 18.4; 7.22e+08; 1.52e+08;212.39333;+42.01946
140936.84+011723.4; 1.0630; 7.9e+00; 21.1; 4.57e+08; 9.62e+07;212.40354;+01.28985
140939.96+404546.3; 1.1899; 3.0e+01; 16.4; 5.16e+08; 1.09e+08;212.41654;+40.76288
140940.38+465147.7; 0.8826; 5.9e+00; 14.8; 1.84e+08; 3.87e+07;212.41826;+46.86326
140942.65+604211.6; 1.1566; 2.6e+01; 17.4; 5.37e+08; 1.13e+08;212.42772;+60.70325
140945.30+521033.7; 1.5155; 4.8e+01; 13.0; 4.17e+08; 8.78e+07;212.43875;+52.17605
140945.48+471013.8; 1.3707; 2.4e+01; 18.0; 5.38e+08; 1.13e+08;212.43953;+47.17051
140946.33+593318.6; 1.4571; 5.5e+01; 14.3; 5.27e+08; 1.11e+08;212.44305;+59.55517
